,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score
0,1,250,270,520,420,50,,,,110,50,RIGHT,RIGHT,0
1,3,250,260,510,420,50,,,,120,50,RIGHT,RIGHT,0
2,5,250,250,500,420,50,,,,130,50,RIGHT,RIGHT,0
3,7,250,240,490,420,50,,,,140,50,RIGHT,RIGHT,0
4,9,250,230,480,420,50,,,,150,50,RIGHT,RIGHT,0
5,11,250,220,470,420,50,,,,160,50,RIGHT,RIGHT,0
6,13,250,210,460,420,50,,,,170,50,RIGHT,RIGHT,0
7,15,250,200,450,420,50,,,,180,50,RIGHT,RIGHT,0
8,17,250,190,440,420,50,,,,190,50,RIGHT,RIGHT,0
9,19,-190,240,410,190,440,,,,190,60,RIGHT,DOWN,0
10,21,-190,230,400,190,440,,,,190,70,DOWN,DOWN,0
11,23,-190,220,390,190,440,,,,190,80,DOWN,DOWN,0
12,25,220,180,430,390,80,,,,200,80,DOWN,RIGHT,0
13,27,220,170,420,390,80,,,,210,80,RIGHT,RIGHT,0
14,29,220,160,410,390,80,,,,220,80,RIGHT,RIGHT,0
15,31,220,150,400,390,80,,,,230,80,RIGHT,RIGHT,0
16,33,220,140,390,390,80,,,,240,80,RIGHT,RIGHT,0
17,35,220,130,380,390,80,,,,250,80,RIGHT,RIGHT,0
18,37,220,120,370,390,80,,,,260,80,RIGHT,RIGHT,0
19,39,220,110,360,390,80,,,,270,80,RIGHT,RIGHT,0
20,41,220,100,350,390,80,,,,280,80,RIGHT,RIGHT,0
21,43,220,90,340,390,80,,,,290,80,RIGHT,RIGHT,0
22,45,220,80,330,390,80,,,,300,80,RIGHT,RIGHT,0
23,47,220,70,320,390,80,,,,310,80,RIGHT,RIGHT,0
24,49,220,60,310,390,80,,,,320,80,RIGHT,RIGHT,0
25,51,220,50,300,390,80,,,,330,80,RIGHT,RIGHT,0
26,53,220,40,290,390,80,,,,340,80,RIGHT,RIGHT,0
27,55,220,30,280,390,80,,,,350,80,RIGHT,RIGHT,0
28,57,220,20,270,390,80,,,,360,80,RIGHT,RIGHT,0
29,59,220,10,260,390,80,,,,370,80,RIGHT,RIGHT,0
30,61,220,0,250,390,80,,,,380,80,RIGHT,RIGHT,0
31,63,220,-10,240,390,80,,,,390,80,RIGHT,RIGHT,0
32,65,10,210,380,390,240,,,,390,90,RIGHT,DOWN,0
33,67,10,200,370,390,240,,,,390,100,DOWN,DOWN,0
34,69,10,190,360,390,240,,,,390,110,DOWN,DOWN,0
35,71,-190,0,380,110,360,,,,380,110,DOWN,LEFT,0
36,73,0,180,350,380,250,,,,380,120,LEFT,DOWN,0
37,75,0,170,340,380,250,,,,380,130,DOWN,DOWN,0
38,77,0,160,330,380,250,,,,380,140,DOWN,DOWN,0
39,79,0,150,320,380,250,,,,380,150,DOWN,DOWN,0
40,81,0,140,310,380,250,,,,380,160,DOWN,DOWN,0
41,83,0,130,300,380,250,,,,380,170,DOWN,DOWN,0
42,85,0,120,290,380,250,,,,380,180,DOWN,DOWN,0
43,87,0,110,280,380,250,,,,380,190,DOWN,DOWN,0
44,89,0,100,270,380,250,,,,380,200,DOWN,DOWN,0
45,91,0,90,260,380,250,,,,380,210,DOWN,DOWN,0
46,93,0,80,250,380,250,,,,380,220,DOWN,DOWN,0
47,95,0,70,240,380,250,,,,380,230,DOWN,DOWN,0
48,97,0,60,230,380,250,,,,380,240,DOWN,DOWN,0
49,99,0,50,220,380,250,,,,380,250,DOWN,DOWN,0
