,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score
0,1,90,20,520,420,50,,,,110,50,RIGHT,RIGHT,0
1,3,90,10,510,420,50,,,,120,50,RIGHT,RIGHT,0
2,5,90,0,500,420,50,,,,130,50,RIGHT,RIGHT,0
3,7,0,-100,40,500,130,,,,130,40,RIGHT,UP,0
4,9,0,-110,30,500,130,,,,130,30,UP,UP,0
5,11,0,-120,20,500,130,,,,130,20,UP,UP,0
6,13,0,-130,10,500,130,,,,130,10,UP,UP,0
7,15,0,-140,0,500,130,,,,130,0,UP,UP,0
