,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min
0,0,-20,240,520,420,50,,,,110,50,RIGHT,RIGHT,0,FRONT,520,420,50
1,1,-20,230,510,420,50,,,,120,50,RIGHT,RIGHT,0,FRONT,510,420,50
2,2,-20,220,500,420,50,,,,130,50,RIGHT,RIGHT,0,FRONT,500,420,50
3,3,-20,210,490,420,50,,,,140,50,RIGHT,RIGHT,0,FRONT,490,420,50
4,4,-20,200,480,420,50,,,,150,50,RIGHT,RIGHT,0,FRONT,480,420,50
5,5,-20,190,470,420,50,,,,160,50,RIGHT,RIGHT,0,FRONT,470,420,50
6,6,-20,180,460,420,50,,,,170,50,RIGHT,RIGHT,0,FRONT,460,420,50
7,7,-20,170,450,420,50,,,,180,50,RIGHT,RIGHT,0,FRONT,450,420,50
8,8,-20,160,440,420,50,,,,190,50,RIGHT,RIGHT,0,FRONT,440,420,50
9,9,-20,150,430,420,50,,,,200,50,RIGHT,RIGHT,0,FRONT,430,420,50
10,10,-20,140,420,420,50,,,,210,50,RIGHT,RIGHT,0,FRONT,420,420,50
11,11,-20,130,410,420,50,,,,220,50,RIGHT,RIGHT,0,FRONT,410,420,50
12,12,-20,120,400,420,50,,,,230,50,RIGHT,RIGHT,0,FRONT,400,420,50
13,13,-20,110,390,420,50,,,,240,50,RIGHT,RIGHT,0,FRONT,390,420,50
14,14,-20,100,380,420,50,,,,250,50,RIGHT,RIGHT,0,FRONT,380,420,50
15,15,-20,90,370,420,50,,,,260,50,RIGHT,RIGHT,0,FRONT,370,420,50
16,16,-20,80,360,420,50,,,,270,50,RIGHT,RIGHT,0,FRONT,360,420,50
17,17,-20,70,350,420,50,,,,280,50,RIGHT,RIGHT,0,FRONT,350,420,50
18,18,-20,60,340,420,50,,,,290,50,RIGHT,RIGHT,0,FRONT,340,420,50
19,19,-20,50,330,420,50,,,,300,50,RIGHT,RIGHT,0,FRONT,330,420,50
20,20,-20,40,320,420,50,,,,310,50,RIGHT,RIGHT,0,FRONT,320,420,50
21,21,-20,30,310,420,50,,,,320,50,RIGHT,RIGHT,0,FRONT,310,420,50
22,22,-20,20,300,420,50,,,,330,50,RIGHT,RIGHT,0,FRONT,300,420,50
23,23,-20,10,290,420,50,,,,340,50,RIGHT,RIGHT,0,FRONT,290,420,50
24,24,-20,0,280,420,50,,,,350,50,RIGHT,RIGHT,0,FRONT,280,420,50
25,25,-20,-10,270,420,50,,,,360,50,RIGHT,RIGHT,0,FRONT,270,420,50
26,26,-20,-20,260,420,50,,,,370,50,RIGHT,RIGHT,0,FRONT,260,420,50
27,27,-20,-30,250,420,50,,,,380,50,RIGHT,RIGHT,0,FRONT,250,420,50
28,28,-20,-40,240,420,50,,,,390,50,RIGHT,RIGHT,0,FRONT,240,420,50
29,29,-20,-50,230,420,50,,,,400,50,RIGHT,RIGHT,0,FRONT,230,420,50
30,30,-20,-60,220,420,50,,,,410,50,RIGHT,RIGHT,0,FRONT,220,420,50
31,31,-20,-70,210,420,50,,,,420,50,RIGHT,RIGHT,0,FRONT,210,420,50
32,32,-20,-80,200,420,50,,,,430,50,RIGHT,RIGHT,0,FRONT,200,420,50
33,33,-20,-90,190,420,50,,,,440,50,RIGHT,RIGHT,0,FRONT,190,420,50
34,34,-20,-100,180,420,50,,,,450,50,RIGHT,RIGHT,0,FRONT,180,420,50
35,35,-20,-110,170,420,50,,,,460,50,RIGHT,RIGHT,0,FRONT,170,420,50
36,36,-20,-120,160,420,50,,,,470,50,RIGHT,RIGHT,0,FRONT,160,420,50
37,37,-20,-130,150,420,50,,,,480,50,RIGHT,RIGHT,0,FRONT,150,420,50
38,38,-20,-140,140,420,50,,,,490,50,RIGHT,UP,0,LEFT,140,420,50
39,39,-140,10,40,140,490,,,,490,40,UP,LEFT,0,LEFT,40,140,490
40,40,10,130,480,40,430,,,0,480,40,LEFT,LEFT,0,FRONT,480,40,0
41,41,10,120,470,40,430,,,,470,40,LEFT,LEFT,0,FRONT,470,40,430
42,42,10,110,460,40,430,,,,460,40,LEFT,LEFT,0,FRONT,460,40,430
43,43,10,100,450,40,430,,,,450,40,LEFT,LEFT,0,FRONT,450,40,430
44,44,10,90,440,40,430,,,,440,40,LEFT,LEFT,0,FRONT,440,40,430
45,45,10,80,430,40,430,,,,430,40,LEFT,LEFT,0,FRONT,430,40,430
46,46,10,70,420,40,430,,,,420,40,LEFT,LEFT,0,FRONT,420,40,430
47,47,10,60,410,40,430,,,,410,40,LEFT,LEFT,0,FRONT,410,40,430
48,48,10,50,400,40,430,,,,400,40,LEFT,LEFT,0,FRONT,400,40,430
49,49,10,40,390,40,430,,,,390,40,LEFT,LEFT,0,FRONT,390,40,430
50,50,10,30,380,40,430,,,,380,40,LEFT,LEFT,0,FRONT,380,40,430
51,51,10,20,370,40,430,,,,370,40,LEFT,LEFT,0,FRONT,370,40,430
52,52,10,10,360,40,430,,,,360,40,LEFT,LEFT,0,FRONT,360,40,430
53,53,10,0,350,40,430,,,,350,40,LEFT,LEFT,0,FRONT,350,40,430
54,54,10,-10,340,40,430,,,,340,40,LEFT,LEFT,0,FRONT,340,40,430
55,55,10,-20,330,40,430,,,,330,40,LEFT,LEFT,0,FRONT,330,40,430
56,56,10,-30,320,40,430,,,,320,40,LEFT,LEFT,0,FRONT,320,40,430
57,57,10,-40,310,40,430,,,,310,40,LEFT,LEFT,0,FRONT,310,40,430
